    r[fm]          wf[fm-3/2]     NLC            corrected-wf[fm-3/2]
    0.00000E+00    0.17599E+00    0.10000E+01    0.17599E+00
    0.10000E+00    0.17127E+00    0.10000E+01    0.17127E+00
    0.20000E+00    0.15605E+00    0.10000E+01    0.15605E+00
    0.30000E+00    0.13286E+00    0.10000E+01    0.13286E+00
    0.40000E+00    0.10421E+00    0.10000E+01    0.10421E+00
    0.50000E+00    0.72465E-01    0.10000E+01    0.72465E-01
    0.60000E+00    0.40654E-01    0.10000E+01    0.40654E-01
    0.70000E+00    0.12106E-01    0.10000E+01    0.12106E-01
    0.80000E+00   -0.11687E-01    0.10000E+01   -0.11687E-01
    0.90000E+00   -0.27954E-01    0.10000E+01   -0.27954E-01
    0.10000E+01   -0.37219E-01    0.10000E+01   -0.37219E-01
    0.11000E+01   -0.38405E-01    0.10000E+01   -0.38405E-01
    0.12000E+01   -0.33545E-01    0.10000E+01   -0.33545E-01
    0.13000E+01   -0.23517E-01    0.10000E+01   -0.23517E-01
    0.14000E+01   -0.10715E-01    0.10000E+01   -0.10715E-01
    0.15000E+01    0.27214E-02    0.10000E+01    0.27214E-02
    0.16000E+01    0.15149E-01    0.10000E+01    0.15149E-01
    0.17000E+01    0.24312E-01    0.10000E+01    0.24312E-01
    0.18000E+01    0.29915E-01    0.10000E+01    0.29915E-01
    0.19000E+01    0.30604E-01    0.10000E+01    0.30604E-01
    0.20000E+01    0.27314E-01    0.10000E+01    0.27314E-01
    0.21000E+01    0.20014E-01    0.10000E+01    0.20014E-01
    0.22000E+01    0.10243E-01    0.10000E+01    0.10243E-01
    0.23000E+01   -0.93136E-03    0.10000E+01   -0.93136E-03
    0.24000E+01   -0.12120E-01    0.10000E+01   -0.12120E-01
    0.25000E+01   -0.21818E-01    0.10000E+01   -0.21818E-01
    0.26000E+01   -0.29303E-01    0.10000E+01   -0.29303E-01
    0.27000E+01   -0.33326E-01    0.10000E+01   -0.33326E-01
    0.28000E+01   -0.33966E-01    0.10000E+01   -0.33966E-01
    0.29000E+01   -0.30661E-01    0.10000E+01   -0.30661E-01
    0.30000E+01   -0.24088E-01    0.10000E+01   -0.24088E-01
    0.31000E+01   -0.14434E-01    0.10000E+01   -0.14434E-01
    0.32000E+01   -0.26077E-02    0.10000E+01   -0.26077E-02
    0.33000E+01    0.10686E-01    0.10000E+01    0.10686E-01
