    r[fm]          wf[fm-3/2]     NLC            corrected-wf[fm-3/2]
    0.00000E+00    0.17783E+01    0.91008E+00    0.16771E+01
    0.10000E+00    0.17264E+01    0.91008E+00    0.16282E+01
    0.20000E+00    0.15772E+01    0.91038E+00    0.14879E+01
    0.30000E+00    0.13455E+01    0.91071E+00    0.12698E+01
    0.40000E+00    0.10557E+01    0.91108E+00    0.99672E+00
    0.50000E+00    0.73708E+00    0.91150E+00    0.69621E+00
    0.60000E+00    0.41996E+00    0.91196E+00    0.39687E+00
    0.70000E+00    0.13245E+00    0.91248E+00    0.12524E+00
    0.80000E+00   -0.10271E+00    0.91305E+00   -0.97180E-01
    0.90000E+00   -0.27043E+00    0.91369E+00   -0.25605E+00
    0.10000E+01   -0.36442E+00    0.91439E+00   -0.34531E+00
    0.11000E+01   -0.38715E+00    0.91517E+00   -0.36715E+00
    0.12000E+01   -0.34868E+00    0.91603E+00   -0.33098E+00
    0.13000E+01   -0.26469E+00    0.91698E+00   -0.25151E+00
    0.14000E+01   -0.15394E+00    0.91802E+00   -0.14644E+00
    0.15000E+01   -0.35619E-01    0.91916E+00   -0.33926E-01
    0.16000E+01    0.73050E-01    0.92041E+00    0.69674E-01
    0.17000E+01    0.15869E+00    0.92177E+00    0.15158E+00
    0.18000E+01    0.21291E+00    0.92325E+00    0.20370E+00
    0.19000E+01    0.23258E+00    0.92484E+00    0.22290E+00
    0.20000E+01    0.21949E+00    0.92656E+00    0.21075E+00
    0.21000E+01    0.17931E+00    0.92840E+00    0.17251E+00
    0.22000E+01    0.12028E+00    0.93037E+00    0.11596E+00
    0.23000E+01    0.51748E-01    0.93246E+00    0.50003E-01
    0.24000E+01   -0.17183E-01    0.93466E+00   -0.16642E-01
    0.25000E+01   -0.78720E-01    0.93698E+00   -0.76433E-01
    0.26000E+01   -0.12709E+00    0.93940E+00   -0.12372E+00
    0.27000E+01   -0.15886E+00    0.94190E+00   -0.15506E+00
    0.28000E+01   -0.17289E+00    0.94449E+00   -0.16922E+00
    0.29000E+01   -0.17001E+00    0.94714E+00   -0.16686E+00
    0.30000E+01   -0.15256E+00    0.94983E+00   -0.15016E+00
    0.31000E+01   -0.12380E+00    0.95255E+00   -0.12220E+00
    0.32000E+01   -0.87415E-01    0.95528E+00   -0.86534E-01
    0.33000E+01   -0.47055E-01    0.95800E+00   -0.46714E-01
    0.34000E+01   -0.59826E-02    0.96070E+00   -0.59559E-02
    0.35000E+01    0.33135E-01    0.96334E+00    0.33078E-01
    0.36000E+01    0.68320E-01    0.96592E+00    0.68384E-01
    0.37000E+01    0.98288E-01    0.96842E+00    0.98635E-01
    0.38000E+01    0.12238E+00    0.97083E+00    0.12312E+00
    0.39000E+01    0.14046E+00    0.97314E+00    0.14165E+00
    0.40000E+01    0.15279E+00    0.97534E+00    0.15442E+00
    0.41000E+01    0.15989E+00    0.97742E+00    0.16195E+00
    0.42000E+01    0.16246E+00    0.97937E+00    0.16488E+00
    0.43000E+01    0.16126E+00    0.98121E+00    0.16397E+00
    0.44000E+01    0.15707E+00    0.98292E+00    0.15999E+00
    0.45000E+01    0.15061E+00    0.98450E+00    0.15365E+00
    0.46000E+01    0.14253E+00    0.98597E+00    0.14562E+00
    0.47000E+01    0.13338E+00    0.98732E+00    0.13647E+00
    0.48000E+01    0.12365E+00    0.98856E+00    0.12666E+00
    0.49000E+01    0.11369E+00    0.98969E+00    0.11660E+00
    0.50000E+01    0.10381E+00    0.99073E+00    0.10658E+00
    0.51000E+01    0.94218E-01    0.99167E+00    0.96821E-01
    0.52000E+01    0.85066E-01    0.99252E+00    0.87491E-01
    0.53000E+01    0.76457E-01    0.99330E+00    0.78698E-01
    0.54000E+01    0.68452E-01    0.99400E+00    0.70509E-01
    0.55000E+01    0.61079E-01    0.99463E+00    0.62954E-01
    0.56000E+01    0.54342E-01    0.99520E+00    0.56042E-01
    0.57000E+01    0.48227E-01    0.99571E+00    0.49762E-01
    0.58000E+01    0.42709E-01    0.99617E+00    0.44087E-01
    0.59000E+01    0.37752E-01    0.99658E+00    0.38987E-01
    0.60000E+01    0.33318E-01    0.99695E+00    0.34420E-01
    0.61000E+01    0.29365E-01    0.99728E+00    0.30347E-01
    0.62000E+01    0.25852E-01    0.99757E+00    0.26725E-01
    0.63000E+01    0.22738E-01    0.99784E+00    0.23512E-01
    0.64000E+01    0.19983E-01    0.99807E+00    0.20668E-01
    0.65000E+01    0.17551E-01    0.99829E+00    0.18157E-01
    0.66000E+01    0.15407E-01    0.99847E+00    0.15941E-01
    0.67000E+01    0.13520E-01    0.99864E+00    0.13991E-01
    0.68000E+01    0.11859E-01    0.99879E+00    0.12275E-01
    0.69000E+01    0.10401E-01    0.99892E+00    0.10766E-01
    0.70000E+01    0.91200E-02    0.99904E+00    0.94417E-02
    0.71000E+01    0.79963E-02    0.99915E+00    0.82792E-02
    0.72000E+01    0.70108E-02    0.99924E+00    0.72595E-02
    0.73000E+01    0.61468E-02    0.99933E+00    0.63654E-02
    0.74000E+01    0.53896E-02    0.99940E+00    0.55817E-02
    0.75000E+01    0.47261E-02    0.99947E+00    0.48948E-02
    0.76000E+01    0.41448E-02    0.99953E+00    0.42930E-02
    0.77000E+01    0.36355E-02    0.99958E+00    0.37657E-02
    0.78000E+01    0.31894E-02    0.99963E+00    0.33038E-02
    0.79000E+01    0.27985E-02    0.99967E+00    0.28990E-02
    0.80000E+01    0.24561E-02    0.99970E+00    0.25444E-02
    0.81000E+01    0.21560E-02    0.99974E+00    0.22336E-02
    0.82000E+01    0.18931E-02    0.99977E+00    0.19613E-02
    0.83000E+01    0.16626E-02    0.99979E+00    0.17226E-02
    0.84000E+01    0.14606E-02    0.99982E+00    0.15133E-02
    0.85000E+01    0.12834E-02    0.99984E+00    0.13298E-02
    0.86000E+01    0.11281E-02    0.99985E+00    0.11688E-02
    0.87000E+01    0.99179E-03    0.99987E+00    0.10276E-02
    0.88000E+01    0.87221E-03    0.99989E+00    0.90373E-03
    0.89000E+01    0.76725E-03    0.99990E+00    0.79499E-03
    0.90000E+01    0.67511E-03    0.99991E+00    0.69953E-03
    0.91000E+01    0.59421E-03    0.99992E+00    0.61570E-03
    0.92000E+01    0.52314E-03    0.99993E+00    0.54207E-03
    0.93000E+01    0.46070E-03    0.99994E+00    0.47737E-03
    0.94000E+01    0.40582E-03    0.99994E+00    0.42051E-03
    0.95000E+01    0.35758E-03    0.99995E+00    0.37053E-03
    0.96000E+01    0.31516E-03    0.99996E+00    0.32657E-03
    0.97000E+01    0.27785E-03    0.99996E+00    0.28791E-03
    0.98000E+01    0.24501E-03    0.99996E+00    0.25389E-03
    0.99000E+01    0.21612E-03    0.99997E+00    0.22395E-03
    0.10000E+02    0.19068E-03    0.99997E+00    0.19759E-03
    0.10100E+02    0.16828E-03    0.99998E+00    0.17438E-03
    0.10200E+02    0.14855E-03    0.99998E+00    0.15394E-03
    0.10300E+02    0.13117E-03    0.99998E+00    0.13592E-03
    0.10400E+02    0.11585E-03    0.99998E+00    0.12005E-03
    0.10500E+02    0.10234E-03    0.99998E+00    0.10605E-03
    0.10600E+02    0.90434E-04    0.99999E+00    0.93712E-04
    0.10700E+02    0.79929E-04    0.99999E+00    0.82827E-04
    0.10800E+02    0.70662E-04    0.99999E+00    0.73223E-04
    0.10900E+02    0.62483E-04    0.99999E+00    0.64748E-04
    0.11000E+02    0.55264E-04    0.99999E+00    0.57267E-04
    0.11100E+02    0.48890E-04    0.99999E+00    0.50662E-04
    0.11200E+02    0.43261E-04    0.99999E+00    0.44829E-04
    0.11300E+02    0.38288E-04    0.99999E+00    0.39676E-04
    0.11400E+02    0.33894E-04    0.99999E+00    0.35123E-04
    0.11500E+02    0.30011E-04    0.10000E+01    0.31099E-04
    0.11600E+02    0.26579E-04    0.10000E+01    0.27542E-04
    0.11700E+02    0.23544E-04    0.10000E+01    0.24397E-04
    0.11800E+02    0.20859E-04    0.10000E+01    0.21616E-04
    0.11900E+02    0.18485E-04    0.10000E+01    0.19155E-04
    0.12000E+02    0.16384E-04    0.10000E+01    0.16978E-04
    0.12100E+02    0.14524E-04    0.10000E+01    0.15051E-04
    0.12200E+02    0.12879E-04    0.10000E+01    0.13346E-04
    0.12300E+02    0.11421E-04    0.10000E+01    0.11836E-04
    0.12400E+02    0.10131E-04    0.10000E+01    0.10498E-04
    0.12500E+02    0.89880E-05    0.10000E+01    0.93139E-05
    0.12600E+02    0.79755E-05    0.10000E+01    0.82646E-05
    0.12700E+02    0.70783E-05    0.10000E+01    0.73349E-05
    0.12800E+02    0.62831E-05    0.10000E+01    0.65109E-05
    0.12900E+02    0.55782E-05    0.10000E+01    0.57804E-05
    0.13000E+02    0.49532E-05    0.10000E+01    0.51328E-05
    0.13100E+02    0.43991E-05    0.10000E+01    0.45586E-05
    0.13200E+02    0.39075E-05    0.10000E+01    0.40492E-05
    0.13300E+02    0.34715E-05    0.10000E+01    0.35973E-05
    0.13400E+02    0.30846E-05    0.10000E+01    0.31964E-05
    0.13500E+02    0.27413E-05    0.10000E+01    0.28407E-05
    0.13600E+02    0.24365E-05    0.10000E+01    0.25249E-05
    0.13700E+02    0.21660E-05    0.10000E+01    0.22445E-05
    0.13800E+02    0.19258E-05    0.10000E+01    0.19957E-05
    0.13900E+02    0.17125E-05    0.10000E+01    0.17746E-05
    0.14000E+02    0.15231E-05    0.10000E+01    0.15783E-05
